text,severity,departments
RoHS 규제 기준 강화 — 2026-09까지 대응 필요,MEDIUM,안전보건팀
시범 사업 모집 — 친환경 참여 기업 우대,LOW,개발본부
베트남 시장 진입 불가 — 필수 인가 미취득,HIGH,"ESG경영팀,재경팀"
작업장 조업 중단 명령 — 소음 기준 중대 위반,HIGH,"해외지원팀,영업팀"
작업장 조업 중단 명령 — 전기 안전 기준 중대 위반,HIGH,"안전보건팀,생산본부"
산업 동향 보고서 — 탄소규제 분야 향후 규제 예고,LOW,품질보증팀
고온 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,ESG경영팀
시범 사업 모집 — 스마트팩토리 참여 기업 우대,LOW,해외지원팀
RoHS 규제 기준 강화 — 2026-07까지 대응 필요,MEDIUM,구매팀
"미국 인센티브 프로그램 신설 — 세액공제 $7,500 적용 가능",LOW,개발본부
공급망 실사 의무화 — 해외법인 범위 확대,MEDIUM,개발본부
기계 안전 기준 변경 — 기존 설비 업그레이드 필요,MEDIUM,품질보증팀
시범 사업 모집 — 친환경 참여 기업 우대,LOW,개발본부
ISO 14001 규제 기준 강화 — 2026-08까지 대응 필요,MEDIUM,구매팀
PFAS 사용 제한 강화 — 허용 농도 1.0ppm 이하로 변경,MEDIUM,구매팀
수은 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"안전보건팀,생산본부"
작업장 조업 중단 명령 — 소음 기준 중대 위반,HIGH,"개발본부,품질보증팀"
ISO 14001 가이드라인 개정 — 자발적 적용 권고,LOW,품질보증팀
보고 의무 신설 — 안전 분기별 제출 의무화,MEDIUM,품질보증팀
공급망 실사 의무화 — 해외법인 범위 확대,MEDIUM,해외지원팀
단계적 적용 예정 — 2028년부터 본격 시행,LOW,개발본부
EWP 리콜 명령 — 안전 기준 위반으로 전량 회수,HIGH,"안전보건팀,생산본부"
카드뮴 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"ESG경영팀,재경팀"
범퍼빔 추가 시험 요구 — 신규 안전기준 적용,MEDIUM,안전보건팀
형사 처벌 대상 — 화학물질관리법 위반으로 대표이사 고발 가능,HIGH,"안전보건팀,생산본부"
공급망 실사 의무화 — 해외법인 범위 확대,MEDIUM,안전보건팀
단계적 적용 예정 — 2030년부터 본격 시행,LOW,품질보증팀
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,ESG경영팀
IRA 규제 기준 강화 — 2026-09까지 대응 필요,MEDIUM,구매팀
교육 의무 신설 — 16시간 연간 교육 이수 권고,LOW,해외지원팀
형사 처벌 대상 — 환경보전법 위반으로 대표이사 고발 가능,HIGH,"품질보증팀,구매팀"
프탈레이트 화합물 사용 전면 금지 — 즉시 대체물질 전환 필요,HIGH,"안전보건팀,생산본부"
자발적 준수 프로그램 — 참여 기업 인센티브 제공,LOW,품질보증팀
