text,intent
해외법인 어디에 있어,company_info
회사 매출이 얼마야,company_info
회의록 만들어줘,document_compose
내선번호4387번이 누구야,employee_lookup
장 사원 이메일 뭐야,employee_lookup
품질문제 개선대책서 양식 찾아줘,document_search
미국 규제 언제부터 적용이야,regulation_query
8D 보고서 양식?,document_search
품질 개선대책서 작성해줘,document_compose
CBAM 규제 현황 알려 줘,regulation_query
최근 작성된 이메일 보여줘요,document_search
서 대리 부서가 어디야,employee_lookup
산안법 최근 변경사항,regulation_query
PPAP 서류 검색,document_search
회사복지 제도 알려줘,company_info
EU REACH 준수 사항,regulation_query
복지 혜택 뭐 있어,company_info
품질 보고서 찾아주세요,document_search
해외법인 어디에 있어,company_info
환경 규제 모니터링,regulation_query
최근 작성된 품질문제 개선대책서보여줘요,document_search
영업팀 사람들 목록,employee_lookup
ESG경영팀에 보낼 공문 써줘,document_compose
8D 보고서 양식,document_search
사장님이 누구야,company_info
IRA 세액공제 조건,regulation_query
미국 규제 현황,regulation_query
규제 위반 시 과징금,regulation_query
품질 보고서 찾아줘,document_search
자동화기술팀 사람들 목록,employee_lookup
송 차장 전화번호,employee_lookup
이메일 초안 써줘,document_compose
보고서 초안작성해줘,document_compose
IRA 세액공제 조건,regulation_query
오 과장에게 이메일 써줘,document_compose
이에게 보낼 메일 작성,document_compose
8D 보고서 양식,document_search
서보 절차서 어디 있어,document_search
신 부장 이메일 뭐야,employee_lookup
정에게 보낼 메일 작성,document_compose
HMGMA 관련 정보,company_info
품질개선대책서 작성해줘,document_compose
아진산업 설립연도,company_info
CNC 절차서 어디 있어,document_search
해외법인 어디에 있어.,company_info
CBAM 대응 방안,regulation_query
안 사원 전화번호,employee_lookup
이메일 작성해줘,document_compose
납기 지연 사과 이메일 작성,document_compose
프리프레그 관련 문서 검색해줘,document_search
재경 팀원들 누구야,employee_lookup
이 과장 이메일 뭐야,employee_lookup
품질 보고서 찾아줘,document_search
경산 본사 위치,company_info
물류팀 사원 찾아줘,employee_lookup
신입사원 교육 일정,company_info
생산관리팀 구성원 현황?,employee_lookup
물류팀 구성원 현황,employee_lookup
회의록 만들어줘,document_compose
홍 부장 부서가 어디야?,employee_lookup
최근 작성된 공문 보여줘,document_search
CNC 절차서 어디 있어,document_search
EU 규제 언제부터 적용이야,regulation_query
회사 매출이 얼마야,company_info
유압 관련 문서 검색해줘,document_search
조지아 공장 정보,company_info
안전보건팀 팀장이 누구야,employee_lookup
산안법 최근 변경사항,regulation_query
8D 보고서 작성,document_compose
EU 규제 대응 방안,regulation_query
한 차장이메일 뭐야,employee_lookup
신입사원 교육 일정,company_info
이메일 양식으로 문서 생성,document_compose
산안법 최근 변경사항,regulation_query
최근 작성된 8D 보고서 보여줘,document_search
내선번호 7447번이 누구야,employee_lookup
이메일 양식 찾아줘,document_search
품질 개선대책서 작성해줘,document_compose
안전 인시던트 리포트 템플릿 어디 있어,document_search
아진산업 설립연도,company_info
복지 혜택 뭐가 있어,company_info
PPAP 템플릿 어디 있어,document_search
경산 본사 위치,company_info
품질 보고서 찾아줘,document_search
규제 위반 시 과징금,regulation_query
IRA 세액공제 조건,regulation_query
PPAP 용어가 뭐야,company_info
서 차장 연락처 알려줘,employee_lookup
신입사원 교육 일정,company_info
SPC 관련 문서 검색해줘,document_search
이 과장 전화번호,employee_lookup
IRA 세액공제 조건,regulation_query
EU 규제 언제부터 적용이야?,regulation_query
PPAP 서류 검색,document_search
금형생산팀 조직도 보여줘,employee_lookup
미국 규제 현황?,regulation_query
규제 위반 시 과징금?,regulation_query
8D 보고서양식?,document_search
이메일 초안 써줘,document_compose
8D 보고서 양식?,document_search
CNC 절차서 어디 있어,document_search
규제 위반 시 과징금,regulation_query
ECN 양식으로 문서 생성,document_compose
개발팀 사람들 목록,employee_lookup
8D 보고서 작성,document_compose
설비보전팀 대리 찾아 줘,employee_lookup
품질보증팀 사람들 목록,employee_lookup
ISO 설명해줘,company_info
납기 지연 사과 이메일 작성,document_compose
이 대리 부서가 어디야,employee_lookup
조지아 공장 정보,company_info
EU REACH 준수 사항,regulation_query
이메일 초안 써줘,document_compose
자동화기술팀 관련 문서 보여줘,document_search
물류팀 구성원 현황,employee_lookup
품질 개선대책서 작성해줘,document_compose
내선번호 2977번이 누구야,employee_lookup
서보 관련 문서 검색해줘,document_search
PPAP 서류 검색,document_search
PPAP 서류 검색,document_search
사장님 누구야,company_info
정 대리 내선번호,employee_lookup
오에게 보낼 메일 작성,document_compose
관세25% 영향 분석,regulation_query
Cpk 설명해줘,company_info
EWP 설명해줘,company_info
PPAP 템플릿 어디 있어,document_search
금형생산팀 조직도 보여줘,employee_lookup
PPAP 뜻 알려줘,company_info
최 대리 전화번호,employee_lookup
금형생산팀 조직도 보여줘,employee_lookup
사장님이 누구야,company_info
회의록 만들어줘,document_compose
품질 개선대책서 작성해줘,document_compose
품질 보고서 찾아줘,document_search
물류 팀원들 누구야,employee_lookup
ECN 용어가 뭐야?,company_info
공문 템플릿 어디 있어,document_search
품질 개선대책서 작성해줘?,document_compose
8D 보고서 양식,document_search
복지 혜택 뭐가 있어,company_info
규제 위반 시 과징금,regulation_query
